id,price
100000,4805572.74
100001,4805572.74
100002,4805572.74
100003,4805572.74
100004,4805572.74
100005,4805572.74
100006,4805572.74
100007,4805572.74
100008,4805572.74
100009,4805572.74
100010,4805572.74
100011,4805572.74
100012,4805572.74
100013,4805572.74
100014,4805572.74
100015,4805572.74
100016,4805572.74
100017,4805572.74
100018,4805572.74
100019,4805572.74
100020,4805572.74
100021,4805572.74
100022,4805572.74
100023,4805572.74
100024,4805572.74
100025,4805572.74
100026,4805572.74
100027,4805572.74
100028,4805572.74
100029,4805572.74
100030,4805572.74
100031,4805572.74
100032,4805572.74
100033,4805572.74
100034,4805572.74
100035,4805572.74
100036,4805572.74
100037,4805572.74
100038,4805572.74
100039,4805572.74
100040,4805572.74
100041,4805572.74
100042,4805572.74
100043,4805572.74
100044,4805572.74
100045,4805572.74
100046,4805572.74
100047,4805572.74
100048,4805572.74
100049,4805572.74
100050,4805572.74
100051,4805572.74
100052,4805572.74
100053,4805572.74
100054,4805572.74
100055,4805572.74
100056,4805572.74
100057,4805572.74
100058,4805572.74
100059,4805572.74
100060,4805572.74
100061,4805572.74
100062,4805572.74
100063,4805572.74
100064,4805572.74
100065,4805572.74
100066,4805572.74
100067,4805572.74
100068,4805572.74
100069,4805572.74
100070,4805572.74
100071,4805572.74
100072,4805572.74
100073,4805572.74
100074,4805572.74
100075,4805572.74
100076,4805572.74
100077,4805572.74
100078,4805572.74
100079,4805572.74
100080,4805572.74
100081,4805572.74
100082,4805572.74
100083,4805572.74
100084,4805572.74
100085,4805572.74
100086,4805572.74
100087,4805572.74
100088,4805572.74
100089,4805572.74
100090,4805572.74
100091,4805572.74
100092,4805572.74
100093,4805572.74
100094,4805572.74
100095,4805572.74
100096,4805572.74
100097,4805572.74
100098,4805572.74
100099,4805572.74
100100,4805572.74
100101,4805572.74
100102,4805572.74
100103,4805572.74
100104,4805572.74
100105,4805572.74
100106,4805572.74
100107,4805572.74
100108,4805572.74
100109,4805572.74
100110,4805572.74
100111,4805572.74
100112,4805572.74
100113,4805572.74
100114,4805572.74
100115,4805572.74
100116,4805572.74
100117,4805572.74
100118,4805572.74
100119,4805572.74
100120,4805572.74
100121,4805572.74
100122,4805572.74
100123,4805572.74
100124,4805572.74
100125,4805572.74
100126,4805572.74
100127,4805572.74
100128,4805572.74
100129,4805572.74
100130,4805572.74
100131,4805572.74
100132,4805572.74
100133,4805572.74
100134,4805572.74
100135,4805572.74
100136,4805572.74
100137,4805572.74
100138,4805572.74
100139,4805572.74
100140,4805572.74
100141,4805572.74
100142,4805572.74
100143,4805572.74
100144,4805572.74
100145,4805572.74
100146,4805572.74
100147,4805572.74
100148,4805572.74
100149,4805572.74
100150,4805572.74
100151,4805572.74
100152,4805572.74
100153,4805572.74
100154,4805572.74
100155,4805572.74
100156,4805572.74
100157,4805572.74
100158,4805572.74
100159,4805572.74
100160,4805572.74
100161,4805572.74
100162,4805572.74
100163,4805572.74
100164,4805572.74
100165,4805572.74
100166,4805572.74
100167,4805572.74
100168,4805572.74
100169,4805572.74
