;химшлак последний Al2O3;химшлак последний CaO;химшлак последний R;химшлак последний SiO2
0;0.037;58.98425000000007;2.4462500000000027;0.059500000000000004
1;0.020499999999999997;58.634999999999984;2.466250000000001;0.12350000000000001
2;0.00975;57.15700000000002;2.4285000000000063;0.06475
3;0.0095;57.72125000000001;2.4070000000000022;0.1185
4;0.019499999999999997;58.81550000000002;2.4420000000000015;0.1245
5;0.058499999999999996;59.55125000000002;2.4482500000000043;0.11850000000000001
6;0.0;0.0;0.0;0.0
7;0.0;0.0;0.0;0.0
8;0.0;0.0;0.0;0.0
9;0.0;0.0;0.0;0.0
10;0.0;0.0;0.0;0.0
11;0.0;0.0;0.0;0.0
12;0.0;0.0;0.0;0.0
13;0.0;0.0;0.0;0.0
14;0.0;0.0;0.0;0.0
15;0.0;0.0;0.0;0.0
16;0.0;0.0;0.0;0.0
17;0.0;0.0;0.0;0.0
18;0.0;0.0;0.0;0.0
19;0.0;0.0;0.0;0.0
20;0.0;0.0;0.0;0.0
21;0.0;0.0;0.0;0.0
22;0.0;0.0;0.0;0.0
23;0.0;0.0;0.0;0.0
24;0.0;0.0;0.0;0.0
25;0.0;0.0;0.0;0.0
26;0.0;0.0;0.0;0.0
27;0.0;0.0;0.0;0.0
28;0.0;0.0;0.0;0.0
29;0.0;0.0;0.0;0.0
30;0.0;0.0;0.0;0.0
31;0.0;0.0;0.0;0.0
32;0.0;0.0;0.0;0.0
33;0.0;0.0;0.0;0.0
34;0.0;0.0;0.0;0.0
35;0.0;0.0;0.0;0.0
36;0.0;0.0;0.0;0.0
37;0.0;0.0;0.0;0.0
38;0.0;0.0;0.0;0.0
39;0.0;0.0;0.0;0.0
40;0.0;0.0;0.0;0.0
41;0.0;0.0;0.0;0.0
42;0.0;0.0;0.0;0.0
43;0.0;0.0;0.0;0.0
44;0.0;0.0;0.0;0.0
45;0.0;0.0;0.0;0.0
46;0.0;0.0;0.0;0.0
47;0.0;0.0;0.0;0.0
48;0.0;0.0;0.0;0.0
49;0.0;0.0;0.0;0.0
50;0.0;0.0;0.0;0.0
51;0.0;0.0;0.0;0.0
52;0.0;0.0;0.0;0.0
53;0.0;0.0;0.0;0.0
54;0.0;0.0;0.0;0.0
55;0.0;0.0;0.0;0.0
56;0.0;0.0;0.0;0.0
57;0.0;0.0;0.0;0.0
58;0.0;0.0;0.0;0.0
59;0.0;0.0;0.0;0.0
60;0.0;0.0;0.0;0.0
61;0.0;0.0;0.0;0.0
62;0.0;0.0;0.0;0.0
63;0.0;0.0;0.0;0.0
64;0.0;0.0;0.0;0.0
65;0.0;0.0;0.0;0.0
66;0.0;0.0;0.0;0.0
67;0.0105;57.491999999999905;2.3762500000000073;0.06525
68;0.0;0.0;0.0;0.0
69;0.0;0.0;0.0;0.0
70;0.0;54.16875000000001;2.2267500000000053;0.05575
71;0.0;0.0;0.0;0.0
72;0.0;0.0;0.0;0.0
73;0.0;0.0;0.0;0.0
74;0.0;0.0;0.0;0.0
75;0.0;0.0;0.0;0.0
76;0.0;0.0;0.0;0.0
77;0.0;0.0;0.0;0.0
78;0.0;0.0;0.0;0.0
79;0.0;0.0;0.0;0.0
80;0.0;0.0;0.0;0.0
81;0.0;0.0;0.0;0.0
82;0.02875;53.49025000000006;2.2302500000000065;0.057999999999999996
83;0.02075;54.47150000000002;2.1992500000000073;0.1275
84;0.0115;53.899500000000046;2.153750000000007;0.12225
85;0.0;0.0;0.0;0.0
86;0.018;55.72100000000006;2.269750000000006;0.057999999999999996
87;0.00975;56.64899999999996;2.3287500000000034;0.0
88;0.0;54.29700000000008;2.2075000000000093;0.0
89;0.00975;56.85999999999997;2.3310000000000017;0.0
90;0.0;54.20900000000005;2.199250000000007;0.057999999999999996
91;0.0;0.0;0.0;0.0
92;0.0;56.681749999999965;2.3615000000000026;0.057999999999999996
93;0.0;55.6755;2.241750000000006;0.06475
94;0.01;53.363250000000015;2.168500000000009;0.12050000000000001
95;0.0;54.242999999999995;2.1972500000000066;0.0
96;0.048249999999999994;57.75549999999996;2.5300000000000047;0.0545
97;0.01775;56.59375000000003;2.2997500000000057;0.0545
98;0.0085;55.89574999999995;2.206500000000009;0.0625
99;0.01075;52.897750000000045;2.163500000000009;0.12050000000000001
100;0.0105;54.371250000000074;2.1810000000000094;0.0
101;0.0;52.952250000000014;2.1967500000000078;0.0
102;0.0;54.23624999999997;2.214250000000008;0.0
103;0.0;55.373749999999994;2.425000000000003;0.0
104;0.0105;52.25125000000002;2.1867500000000093;0.06125
105;0.0;53.12200000000004;2.165500000000011;0.0
106;0.0;54.86849999999994;2.203750000000007;0.0
107;0.0;56.87950000000005;2.3627500000000037;0.0
108;0.0;60.59600000000004;2.6567499999999984;0.0
109;0.0285;55.53574999999997;2.411750000000003;0.049
110;0.030749999999999996;56.30350000000004;2.357250000000005;0.0
111;0.0;55.19575;2.1605000000000105;0.0
112;0.0;56.27100000000008;2.2505000000000077;0.057999999999999996
113;0.0;55.85900000000002;2.1730000000000094;0.0
114;0.0;55.205000000000034;2.3000000000000056;0.0
115;0.0;57.66749999999998;2.412500000000001;0.0545
116;0.0;54.57275000000002;2.298750000000004;0.0
117;0.013999999999999997;55.735;2.3025000000000015;0.0
118;0.013999999999999997;54.62600000000004;2.1867500000000084;0.0
119;0.0;55.086499999999944;2.3995000000000037;0.0
120;0.01175;54.56425000000004;2.2572500000000075;0.0
121;0.0;59.27025000000003;2.5330000000000013;0.0
122;0.0;56.01549999999995;2.337500000000003;0.0
123;0.01775;58.13750000000004;2.5367500000000014;0.0
124;0.0;55.020750000000035;2.2902500000000043;0.0
125;0.01825;55.81149999999995;2.3134999999999994;0.0545
126;0.0;55.03800000000002;2.1870000000000083;0.0
127;0.0;53.76400000000005;2.1752500000000112;0.052750000000000005
128;0.0;57.66875000000004;2.356249999999998;0.0
129;0.009250000000000001;55.41950000000003;2.197250000000009;0.0
130;0.01775;56.85750000000001;2.3737499999999985;0.0545
131;0.0;56.939249999999966;2.460500000000001;0.0545
132;0.0;57.94874999999996;2.443250000000001;0.0
133;0.0;53.917249999999974;2.177250000000009;0.06525
134;0.0;56.89850000000001;2.3547500000000006;0.057999999999999996
135;0.0;54.651;2.2357500000000066;0.06525
136;0.0;53.83074999999998;2.1917500000000083;0.1175
137;0.00825;54.83125;2.149750000000007;0.06525
138;0.009250000000000001;55.01649999999998;2.1527500000000104;0.11074999999999999
